id,address,square,price,Response_X,Response_Y
165,台北市-大安區 信義路四段X號,180,650000,121.544127,25.033562
166,台北市-中山區 中山北路二段16巷X號,19,37500,121.521331,25.053009
167,台北市-信義區 仁愛路四段X號1樓,69,300000,121.544882,25.038231
168,台北市-松山區 民生東路五段X號1樓,43,280000,121.55643,25.058239
169,台北市-大安區 復興南路一段107巷7弄X號,30,130000,121.544439,25.044059
170,台北市-大安區 復興南路一段107巷7弄X號,25,80000,121.544439,25.044059
171,台北市-大安區 仁愛路四段345巷4弄X號,55,210000,121.553833,25.038851
172,台北市-南港區 忠孝東路六段X號,28,108000,121.582548,25.046927
173,台北市-信義區 基隆路一段X號1樓,104,280000,121.570065,25.050049
174,台北市-中正區 羅斯福路一段X號1樓,30,120000,121.517376,25.034307
175,台北市-中正區 羅斯福路二段X號1樓,275,2062950,121.521164,25.029148
176,台北市-信義區 基隆路一段X號1樓,35,98000,121.570065,25.050049
177,台北市-松山區 南京東路三段256巷28弄X號,36,55000,121.544735,25.049833
178,台北市-中山區 新生北路二段X號1樓,31,50000,121.527785,25.053913
179,台北市-大安區 忠孝東路四段223巷X號2樓,46,105000,121.552883,25.041847
180,台北市-信義區 基隆路二段X號,166,650000,121.559289,25.032233
181,台北市-大安區 延吉街62巷6弄X號,50,100000,121.553543,25.043749
182,台北市-中正區 衡陽路X號,50,250000,121.513491,25.042408
183,台北市-萬華區 成都路X號1樓,29.1,240000,121.507953,25.042645
184,台北市-士林區 中正路X號,19.76,200000,121.52906,25.096419
185,台北市-中山區 民族東路X號1樓,50,88000,121.536178,25.068455
186,台北市-北投區 石牌路二段X號,33,220000,121.515575,25.116009
187,台北市-信義區 忠孝東路五段31巷X號,30,650000,,
188,台北市-大安區 復興南路二段X之X號,20,90000,121.543792,25.032595
189,台北市-松山區 八德路三段12巷51弄X號,25,65000,121.551093,25.046082
190,台北市-士林區 德行西路X號,45,150000,121.52314,25.10633
191,台北市-文山區 興隆路三段X號,33,360000,121.555905,25.000134
192,台北市-士林區 文林路X號2樓,50,98000,121.525764,25.086654
193,台北市-中山區 民生東路一段X號,531,900000,121.524731,25.058197
194,台北市-松山區 復興北路X號,243,568000,121.544268,25.048715
195,台北市-大安區 泰順街60巷X號1樓,5,32000,121.530973,25.022268
196,台北市-中山區 復興北路X號,51,230000,121.544268,25.048715
197,台北市-松山區 復興北路X號,38,45500,121.544268,25.048715
198,台北市-大安區 信義路二段X號,30,60000,121.524658,25.035516
199,台北市-大安區 通安街X號,100,110000,121.55323,25.031656
200,台北市-中正區 羅斯福路四段X號,25,78000,121.53285,25.015886
201,台北市-大安區 瑞安街X號,20,58000,121.544098,25.031413
202,台北市-大安區 羅斯福路三段X號,50,250000,121.524659,25.023391
203,台北市-萬華區 中華路一段X號,15,120000,121.509372,25.04762
204,台北市-中正區 忠孝東路二段X號,30,85000,121.530343,25.042799
205,台北市-大同區 南京西路X號,40,150000,121.521814,25.052535
206,台北市-大安區 延吉街X號,20,120000,121.553298,25.047912
207,台北市-中正區 羅斯福路三段X號,40,88000,121.524659,25.023391
209,台北市-大安區 光復南路X號,50,160000,121.557644,25.047772
210,台北市-松山區 八德路四段X號,30,128000,121.558111,25.048117
211,台北市-松山區 民生東路五段X號,35,120000,121.55643,25.058239
213,台北市-松山區 南京東路五段X號,40,150000,121.558091,25.05132
214,台北市-中山區 南京東路二段X號,25,75000,121.528271,25.052291
215,台北市-中山區 南京東路二段X號,150,150000,121.528271,25.052291
217,台北市-松山區 八德路四段X號,50,75000,121.558111,25.048117
218,台北市-中正區 羅斯福路三段X號,25,98000,121.524659,25.023391
219,台北市-松山區 光復北路X號,40,100000,121.55801,25.048635
220,台北市-大安區 師大路X號,30,120000,121.528652,25.024416
221,台北市-中山區 伊通街X號,15,95000,121.534659,25.049634
222,台北市-大安區 忠孝東路四段X號,25,250000,121.54399,25.041391
225,台北市-松山區 光復北路X號,50,162000,121.55801,25.048635
227,台北市-大安區 安和路一段X號,50,135000,121.550678,25.039158
229,台北市-大安區 基隆路二段X號,50,120000,121.559289,25.032233
231,台北市-大安區 龍泉街X號,20,120000,121.529402,25.02486
233,台北市-大安區 新生南路一段X號B1樓,220,500000,121.532475,25.043796
236,台北市-大安區 復興南路二段X號,30,120000,121.543792,25.032595
237,台北市-信義區 吳興街X號,20,70000,121.559719,25.031618
238,台北市-信義區 基隆路二段X號,90,90000,121.559289,25.032233
239,台北市-中山區 錦州街X號,40,200000,121.523931,25.060435
240,台北市-大安區 忠孝東路四段X號,15,75000,121.54399,25.041391
241,台北市-松山區 民生東路三段113巷25弄X號,50,85000,121.54704,25.059449
242,台北市-大安區 四維路X號,30,68000,121.548254,25.036737
243,台北市-松山區 民生東路三段X號,1138,3000000,121.539794,25.058057
244,台北市-松山區 寧安街X號1樓,50,100000,121.554416,25.049372
245,台北市-中正區 仁愛路二段X號1樓,63,160000,121.525585,25.038065
246,台北市-大安區 敦化南路一段X號1樓,22,150000,121.548478,25.047618
247,台北市-北投區 承德路七段X號,112,80000,121.510677,25.110597
248,台北市-中山區 興安街X號1樓,18.5,63000,121.537372,25.056105
249,台北市-萬華區 成都路X號,60,120000,121.507953,25.042645
250,台北市-大安區 復興南路二段X號1樓,30,120000,121.543792,25.032595
251,台北市-中山區 中山北路三段X號,37,56000,121.521748,25.063948
252,台北市-內湖區 瑞光路X號1樓,166,300000,121.583578,25.069284
253,台北市-大安區 羅斯福路三段X號1樓,80,140000,121.524659,25.023391
254,台北市-信義區 忠孝東路四段X號1樓,45,195000,121.54399,25.041391
255,台北市-中山區 長安東路二段X號1樓,51,120000,121.530307,25.048402
256,台北市-大安區 泰順街X號1樓,36,120000,121.531493,25.025918
257,台北市-大安區 忠孝東路四段X號1樓,208,3500000,121.54399,25.041391
258,台北市-大安區 忠孝東路四段X號1樓,22,228000,121.54399,25.041391
259,台北市-大同區 鄭州路X號,100,100000,121.515833,25.049103
260,台北市-大同區 鄭州路X號,100,100000,121.515833,25.049103
261,台北市-中正區 羅斯福路二段X號,86,300000,121.521164,25.029148
262,台北市-大安區 和平東路三段X號,110,230000,121.547798,25.024482
263,台北市-大安區 通化街X號1樓,15,70000,121.554355,25.031859
264,台北市-大安區 敦化南路一段X號1樓,40,320000,121.548478,25.047618
265,台北市-中正區 羅斯福路一段X號1樓,40,300000,121.517376,25.034307
266,台北市-大安區 延吉街X號1樓,10,78000,121.553298,25.047912
267,台北市-松山區 八德路二段X號,50,160000,121.533245,25.04458
268,台北市-南港區 忠孝東路六段X號1樓,20,115000,121.582548,25.046927
269,台北市-大安區 安和路一段X號1樓,70,480000,121.550678,25.039158
270,台北市-士林區 中山北路六段X號1樓,71,170000,121.526567,25.10302
271,台北市-士林區 延平北路五段X號,70,55000,121.511108,25.079065
272,台北市-大安區 敦化南路二段X號1樓,203,1421000,121.549185,25.031523
273,台北市-大安區 新生南路三段X號,132,600000,121.534549,25.025397
274,台北市-大安區 忠孝東路四段X號1樓,150,1800000,121.54399,25.041391
275,台北市-大安區 金山南路二段X號1樓,6,70000,121.527284,25.033148
276,台北市-士林區 中正路X號,90,440000,121.52906,25.096419
277,台北市-中山區 吉林路X號1樓,83,185000,121.529934,25.05022
278,台北市-大安區 延吉街X號1樓,30,100000,121.553298,25.047912
279,台北市-大安區 師大路X號2樓,10,40000,121.528652,25.024416
280,台北市-信義區 永吉路X號,27,65000,121.568165,25.045872
281,台北市-士林區 中正路X號,135,550000,121.52906,25.096419
282,台北市-中山區 農安街X號,56,70000,121.522755,25.064856
283,台北市-中山區 復興北路X號1樓,52,350000,121.544268,25.048715
284,台北市-士林區 承德路四段X號1樓,50,80000,121.521924,25.079789
285,台北市-中山區 北安路X號1樓,22,100000,121.538855,25.078913
286,台北市-大安區 永康街X號樓之1,45,150000,121.529727,25.033236
287,台北市-松山區 南京東路三段X號12樓,151,287000,121.537948,25.051784
288,台北市-信義區 基隆路二段X號1樓,25,36000,121.559289,25.032233
289,台北市-松山區 八德路四段X號4樓,44,62000,121.558111,25.048117
290,台北市-士林區 士商路X號,31.4,150000,121.521046,25.089794
291,台北市-大安區 大安路一段X號1樓,40,183000,121.546008,25.044847
292,台北市-大安區 光復南路X號,44,150000,121.557644,25.047772
293,台北市-中正區 八德路一段X號,40,260000,121.529111,25.04429
294,台北市-信義區 忠孝東路五段X號,41,45000,121.565242,25.041292
295,台北市-中正區 羅斯福路一段X號1樓,40,90000,121.517376,25.034307
296,台北市-大安區 大安路一段X號,75,185000,121.546008,25.044847
297,台北市-中正區 羅斯福路三段X號,45,85000,121.524659,25.023391
298,台北市-士林區 承德路四段X號1樓,70,95000,121.521924,25.079789
299,台北市-士林區 基河路X號,51,810000,121.524886,25.086462
300,台北市-士林區 基河路X號,70,810000,121.524886,25.086462
301,台北市-大安區 忠孝東路四段X號,147,1500000,121.54399,25.041391
302,台北市-士林區 中山北路六段X號2樓,130,180000,121.526567,25.10302
303,台北市-士林區 基河路X號,47,810000,121.524886,25.086462
304,台北市-大安區 仁愛路四段X號1樓,65,210000,121.544882,25.038231
305,台北市-大安區 復興南路一段X號1樓,22,70000,121.544131,25.047256
306,台北市-大安區 延吉街62巷X號1樓,4,42000,121.553598,25.0434
307,台北市-松山區 民生東路五段X號,42,250000,121.55643,25.058239
308,台北市-松山區 民生東路五段X號1樓,80,180000,121.55643,25.058239
309,台北市-松山區 市民大道四段X號,60,250000,,
310,台北市-大同區 延平北路二段X號,75,100000,121.51166,25.054089
311,台北市-文山區 羅斯福路五段X號1樓,25,68000,121.537596,25.008783
312,台北市-松山區 南京東路三段X號13樓,850,1615000,121.537948,25.051784
313,台北市-大同區 鄭州路X號,67,100000,121.515833,25.049103
314,台北市-大安區 忠孝東路四段X號1樓,41,320000,121.54399,25.041391
315,台北市-大安區 復興南路一段X號,56,310000,121.544131,25.047256
316,台北市-中正區 羅斯福路四段X號1樓,4,70000,121.53285,25.015886
317,台北市-中山區 林森北路X號,104,180000,121.523746,25.045626
318,台北市-中山區 農安街X號1樓,31,55000,121.522755,25.064856
319,台北市-大安區 大安路一段X號1樓,23,474000,121.546008,25.044847
320,台北市-士林區 延平北路五段X號1樓,60,50000,121.511108,25.079065
321,台北市-士林區 文林路X號1樓,25,250000,121.525764,25.086654
322,台北市-大安區 延吉街X號1樓,42,350000,121.553298,25.047912
323,台北市-大安區 延吉街X號,18.74,95000,121.553298,25.047912
324,台北市-大安區 敦化南路一段161巷X號,22,190000,121.54945,25.043615
325,台北市-松山區 復興北路X號1樓,100,450000,121.544268,25.048715
326,台北市-中山區 中山北路一段X號1樓,64,178000,121.519611,25.046198
327,台北市-中正區 羅斯福路四段X號1樓,6,170000,121.53285,25.015886
328,台北市-信義區 永吉路X號1樓,23,58000,121.568165,25.045872
329,台北市-松山區 八德路二段X號1樓,150,350000,121.533245,25.04458
330,台北市-文山區 羅斯福路六段X號B1樓,344,378000,121.539351,25.000381
331,台北市-文山區 木柵路二段X號1樓,18,105000,121.558803,24.988865
332,台北市-大安區 羅斯福路三段X號1樓,95,280000,121.524659,25.023391
333,台北市-大安區 忠孝東路三段X號1樓,30,166000,121.53338,25.042029
334,台北市-大安區 忠孝東路四段77巷X號1樓,28,150000,121.547131,25.04176
335,台北市-大安區 延吉街X號1樓,23,95000,121.553298,25.047912
336,台北市-信義區 和平東路三段207巷X號1樓,50,100000,121.553706,25.023554
337,台北市-大安區 新生南路三段X號1樓,25,150000,121.534549,25.025397
338,台北市-中山區 民生東路三段113巷X號1樓,45,110000,121.546117,25.059831
339,台北市-松山區 南京東路四段X之X號1樓,35,70000,121.550928,25.051424
341,台北市-大安區 敦化南路一段161巷X號1樓,43,250000,121.54945,25.043615
342,台北市-大安區 復興南路一段X號1樓,41,128000,121.544131,25.047256
343,台北市-萬華區 昆明街X號1樓,230,700000,121.505962,25.046706
344,台北市-大安區 樂利路X號1樓,50,150000,121.551268,25.028149
345,台北市-大安區 羅斯福路三段X號2樓,50,85000,121.524659,25.023391
346,台北市-大安區 敦化南路二段X號1樓,35,298000,121.549185,25.031523
347,台北市-中正區 羅斯福路四段X號1樓,20,220000,121.53285,25.015886
348,台北市-中山區 林森北路X號1樓,35,150000,121.523746,25.045626
349,台北市-中正區 羅斯福路三段X號1樓,47.38,348000,121.524659,25.023391
350,台北市-大安區 忠孝東路四段X號2樓,165,520000,121.54399,25.041391
351,台北市-松山區 八德路四段X號2樓,82,98000,121.558111,25.048117
352,台北市-信義區 東興路X號1樓,125,200000,121.565534,25.050247
353,台北市-大安區 復興南路一段X號1樓,65.25,580000,121.544131,25.047256
354,台北市-內湖區 成功路五段X號3樓,433,458000,121.606241,25.074329
355,台北市-中山區 中山北路一段X號1樓,65,130000,121.519611,25.046198
356,台北市-信義區 信義路四段X號1樓,27,140000,121.544127,25.033562
357,台北市-松山區 復興南路一段X號1樓,30,200000,121.544131,25.047256
358,台北市-文山區 羅斯福路五段X號1樓,25,68000,121.537596,25.008783
359,台北市-松山區 民生東路四段X號1樓,30,180000,121.5501,25.057935
360,台北市-信義區 信義路六段X號,40,60000,121.575494,25.034424
361,台北市-大安區 延吉街X號,38,160000,121.553298,25.047912
362,台北市-大安區 延吉街X號1樓,30,100000,121.553298,25.047912
363,台北市-信義區 松隆路X號1樓,40,50000,121.566401,25.043553
364,台北市-中山區 中山北路二段X號1樓,47,100000,121.522373,25.052663
365,台北市-大安區 延吉街X號,26,200000,121.553298,25.047912
366,台北市-大安區 延吉街X號,60,80000,121.553298,25.047912
367,台北市-大安區 仁愛路四段X號1樓,13,96000,121.544882,25.038231
368,台北市-信義區 莊敬路X號,20,45000,121.561134,25.030699
369,台北市-大同區 南京西路X號1樓,46,380000,121.521814,25.052535
370,台北市-信義區 信義路四段X號,106,380000,121.544127,25.033562
371,台北市-中山區 南京東路一段X號1樓,193.63,750000,121.522919,25.05203
372,台北市-松山區 南京東路五段251巷22弄X號,16.38,32000,121.564519,25.05208
374,台北市-士林區 大東路X號1樓,28,200000,121.525404,25.087005
375,台北市-大安區 光復南路X號1樓,65,150000,121.557644,25.047772
376,台北市-中山區 新生北路一段X號,260,480000,121.533172,25.044697
377,台北市-松山區 南京東路四段X號1樓,30,98000,121.550928,25.051424
378,台北市-中山區 南京東路一段X號2樓,163,320000,121.522919,25.05203
379,台北市-大安區 敦化南路一段270巷X號,73,145000,121.547996,25.038654
380,台北市-中山區 林森北路85巷X號,100,150000,121.527815,25.049199
381,台北市-大安區 忠孝東路四段X號2樓,134,340000,121.54399,25.041391
382,台北市-大安區 信義路四段30巷X號,28,45000,121.544528,25.032233
383,台北市-士林區 文林路X號,33,180000,121.525764,25.086654
384,台北市-中正區 濟南路二段X之X號1樓,12,46000,121.526324,25.041449
385,台北市-大安區 建國南路二段X號1樓,20,70000,121.538203,25.033078
386,台北市-大安區 敦化南路一段187巷X號1樓,19,55000,121.551437,25.042759
387,台北市-大安區 龍泉街X號1樓,5,30000,121.529402,25.02486
388,台北市-北投區 西安街一段X號,30,60000,121.520186,25.107284
389,台北市-松山區 南京東路五段X號,25,50000,121.558091,25.05132
390,台北市-信義區 信義路四段X號1樓,67,150000,121.544127,25.033562
391,台北市-大安區 仁愛路四段27巷X之X號,68,200000,121.545591,25.040403
392,台北市-大安區 安和路二段X號1樓,24,130000,121.552583,25.031251
394,台北市-信義區 莊敬路X號,40,140000,121.561134,25.030699
395,台北市-中山區 長安東路二段X號,75,250000,121.530307,25.048402
396,台北市-信義區 莊敬路X號,28,65000,121.561134,25.030699
398,台北市-大安區 復興南路一段X號,100,350000,121.544131,25.047256
399,台北市-中山區 復興北路X號,15,90000,121.544268,25.048715
400,台北市-中山區 民生東路二段X號,30,75000,121.529165,25.05787
401,台北市-中正區 寧波西街X號,30,100000,121.518813,25.031389
402,台北市-大安區 敦化南路一段X號1樓,50,180000,121.548478,25.047618
403,台北市-松山區 復興北路X號,60,200000,121.544268,25.048715
404,台北市-松山區 南京東路三段X號,60,180000,121.537948,25.051784
405,台北市-中山區 南京東路三段X號2樓,94,200000,121.537948,25.051784
406,台北市-大安區 忠孝東路四段X號,80,215000,121.54399,25.041391
407,台北市-大安區 復興南路二段X號,40,140000,121.543792,25.032595
408,台北市-信義區 忠孝東路五段X號,30,150000,121.565242,25.041292
409,台北市-中正區 新生南路一段X號,30,100000,121.532475,25.043796
410,台北市-內湖區 東湖路X號,60,350000,121.612784,25.068946
411,台北市-信義區 莊敬路X號,50,145000,121.561134,25.030699
413,台北市-大安區 師大路X號,30,230000,121.528652,25.024416
414,台北市-信義區 忠孝東路五段X號,30,75000,121.565242,25.041292
415,台北市-松山區 南京東路五段X號,30,120000,121.558091,25.05132
416,台北市-大安區 大安路二段X號1樓,40,135000,121.545957,25.031498
417,台北市-大安區 和平東路二段X號,40,135000,121.536039,25.025688
